id,kb_id,kb_category,kb_title,section_title,supplier_name,material_name,variant_label,unit,price_min,price_max,price_value,currency,raw_price_text,source,priority,extracted_at
153,178,estimator,งานรั้ว+ประตูรั้ว+รีโมท,งานรั้ว+ประตูรั้ว+รีโมท,,(หมายเหตุ,,เมตร),800,1200,,THB,"หากต้องตอกเสาเข็มหกเหลี่ยมยาว 4-6 ม. ปูพรมกันทรุด เพิ่ม 800 - 1,200 บาท/เมตร)",autonomy,9,2026-04-09 10:27:20
146,173,estimator,งานไฟฟ้าทั้งหลัง — สายไฟ+ท่อร้อย+เบรคเกอร์+ดวงโคม+ค่าแรง,งานไฟฟ้าทั้งหลัง — สายไฟ+ท่อร้อย+เบรคเกอร์+ดวงโคม+ค่าแรง,,5 sq.mm (เต้ารับ),,ม้วน,700,850,,THB,700 - 850 บาท/ม้วน,autonomy,8,2026-04-09 10:27:20
145,173,estimator,งานไฟฟ้าทั้งหลัง — สายไฟ+ท่อร้อย+เบรคเกอร์+ดวงโคม+ค่าแรง,งานไฟฟ้าทั้งหลัง — สายไฟ+ท่อร้อย+เบรคเกอร์+ดวงโคม+ค่าแรง,,5 sq.mm (แสงสว่าง),,ม้วน,450,550,,THB,450 - 550 บาท/ม้วน,autonomy,8,2026-04-09 10:27:20
147,173,estimator,งานไฟฟ้าทั้งหลัง — สายไฟ+ท่อร้อย+เบรคเกอร์+ดวงโคม+ค่าแรง,งานไฟฟ้าทั้งหลัง — สายไฟ+ท่อร้อย+เบรคเกอร์+ดวงโคม+ค่าแรง,,6 sq.mm (แอร์/เครื่องทำน้ำอุ่น),,ม้วน,1200,1800,,THB,"1,200 - 1,800 บาท/ม้วน",autonomy,8,2026-04-09 10:27:20
68,6,interior_design,ราคาวัสดุก่อสร้าง 2026 — กระจก อิฐ ฉนวน ท่อ PVC,ราคาวัสดุก่อสร้าง 2026 — กระจก อิฐ ฉนวน ท่อ PVC,,Aluminium Foil ฉนวน,,ตร.ม.,45,90,,THB,45-90 บาท/ตร.ม.,market_research_2026,8,2026-04-09 10:27:20
35,4,interior_design,ราคาวัสดุก่อสร้าง 2026 — สี,ราคาวัสดุก่อสร้าง 2026 — สี,,Beger Pastel (18 ลิตร),,,950,1200,,THB,"950-1,200 บาท",market_research_2026,8,2026-04-09 10:27:20
130,153,researcher,template BOQ ทาวน์เฮ้าส์ 3 ชั้น,template BOQ ทาวน์เฮ้าส์ 3 ชั้น,,DB12,,เมตร,95,110,,THB,95 - 110 บาท/เมตร,autonomy,8,2026-04-09 10:27:20
131,153,researcher,template BOQ ทาวน์เฮ้าส์ 3 ชั้น,template BOQ ทาวน์เฮ้าส์ 3 ชั้น,,DB16,,เมตร,165,185,,THB,165 - 185 บาท/เมตร,autonomy,8,2026-04-09 10:27:20
36,4,interior_design,ราคาวัสดุก่อสร้าง 2026 — สี,ราคาวัสดุก่อสร้าง 2026 — สี,,Dulux Weathershield (18 ลิตร),,,1600,2000,,THB,"1,600-2,000 บาท",market_research_2026,8,2026-04-09 10:27:20
156,183,estimator,งานบิ้วอิน — ตู้เสื้อผ้า+ตู้ครัว+TV wall+ชั้นวาง,งานบิ้วอิน — ตู้เสื้อผ้า+ตู้ครัว+TV wall+ชั้นวาง,,HMR (ไม้ทนชื้น เหมาะกับครัว/ตู้เสื้อผ้า),,แผ่น,600,850,,THB,600 - 850 บาท/แผ่น,autonomy,8,2026-04-09 10:27:20
