id,material_id,supplier_id,price_type,price_label,unit,currency,price_value,price_min,price_max,confidence_score,source_kb_id,source_title,source_row_id,raw_price_text,raw_line,created_at
1,1,,range,,ถุง,THB,,185.0,210.0,0.95,1,ราคาวัสดุก่อสร้าง 2026 — ปูนซีเมนต์,1,185-210 บาท/ถุง (แล้วแต่แบรนด์),ปูนถุง 50 กก. ราคาปลีก: 185-210 บาท/ถุง (แล้วแต่แบรนด์),2026-04-09 11:03:53
2,2,,single,,ถุง,THB,195.0,,,0.95,1,ราคาวัสดุก่อสร้าง 2026 — ปูนซีเมนต์,2,ปูนเทรดีมิกซ์ถุงเล็ก 195 บาท / ถุงใหญ่ 200 บาท,SCG (ตราช้าง): ปูนเทรดีมิกซ์ถุงเล็ก 195 บาท / ถุงใหญ่ 200 บาท,2026-04-09 11:03:53
3,3,,range,,ถุง,THB,,185.0,190.0,0.95,1,ราคาวัสดุก่อสร้าง 2026 — ปูนซีเมนต์,3,185-190 บาท/ถุง 50 กก.,TPI (ตราทีพีไอ): 185-190 บาท/ถุง 50 กก.,2026-04-09 11:03:53
4,4,,range,,ถุง,THB,,190.0,205.0,0.95,1,ราคาวัสดุก่อสร้าง 2026 — ปูนซีเมนต์,4,190-205 บาท/ถุง,INSEE (ตราสามเหลี่ยม): 190-205 บาท/ถุง,2026-04-09 11:03:53
5,5,,range,,ลบ.ม.,THB,,1800.0,2200.0,0.95,1,ราคาวัสดุก่อสร้าง 2026 — ปูนซีเมนต์,5,"1,800-2,200 บาท/ลบ.ม. ส่งถึงหน้างาน","ปูนผสมสำเร็จ (ready-mix): 1,800-2,200 บาท/ลบ.ม. ส่งถึงหน้างาน",2026-04-09 11:03:53
6,6,,range,,ถุง,THB,,180.0,195.0,0.95,1,ราคาวัสดุก่อสร้าง 2026 — ปูนซีเมนต์,6,180-195 บาท/ถุง,ปูนก่ออิฐ: 180-195 บาท/ถุง,2026-04-09 11:03:53
7,7,,range,,ถุง,THB,,170.0,185.0,0.95,1,ราคาวัสดุก่อสร้าง 2026 — ปูนซีเมนต์,7,170-185 บาท/ถุง,ปูนฉาบ: 170-185 บาท/ถุง,2026-04-09 11:03:53
8,8,,range,,ถุง,THB,,200.0,250.0,0.95,1,ราคาวัสดุก่อสร้าง 2026 — ปูนซีเมนต์,8,200-250 บาท/ถุง 20 กก.,ปูนกาวกระเบื้อง: 200-250 บาท/ถุง 20 กก.,2026-04-09 11:03:53
78,8,,range,ราคา,ถุง,THB,,180.0,250.0,0.92,116,สูตรคำนวณปริมาณวัสดุงานกระเบื้อง — ปูนกาว ยาแนว waste,89,180-250 บาท/ถุง 20 กก.,ราคา: 180-250 บาท/ถุง 20 กก.,2026-04-09 11:03:53
9,9,,range,,ถุง,THB,,120.0,180.0,0.95,1,ราคาวัสดุก่อสร้าง 2026 — ปูนซีเมนต์,9,120-180 บาท/ถุง 5 กก.,ปูนยาแนว: 120-180 บาท/ถุง 5 กก.,2026-04-09 11:03:53
