id,kb_id,kb_category,kb_title,supplier_name,section_heading,strengths,contact_raw,phone_numbers,line_ids,website_urls,branch_info,b2b_notes,source,priority,extracted_at
9,273,researcher,"ซัพพลายเออร์สี — TOA, Jotun, Beger, Nippon",Beger (บริษัท เบเยอร์),Beger (บริษัท เบเยอร์),,,02-815-5888,@beger.co.th,,,Beger (บริษัท เบเยอร์): โทร 02-815-5888 (ต่อฝ่ายขาย B2B) | Email: project@beger.co.th,autonomy,8,2026-04-09 10:27:20
6,271,researcher,"ซัพพลายเออร์กระเบื้องปูพื้น — COTTO, Dynasty",COTTO (SCG Ceramics),COTTO (SCG Ceramics),,,,,,,,autonomy,8,2026-04-09 10:27:20
8,273,researcher,"ซัพพลายเออร์สี — TOA, Jotun, Beger, Nippon",Jotun (บริษัท โจตัน ไทย),Jotun (บริษัท โจตัน ไทย),,,,,,,,autonomy,8,2026-04-09 10:27:20
2,267,researcher,"ซัพพลายเออร์ไฟฟ้า — Lamptitude, Philips, Panasonic",Lamptitude (ผู้เชี่ยวชาญโคมไฟตกแต่งและงานสถาปัตยกรรม),Lamptitude (ผู้เชี่ยวชาญโคมไฟตกแต่งและงานสถาปัตยกรรม),,LINE: @lamptitude,02-392-1717,@lamptitude,,โทร: 02-392-1717 (สำนักงานใหญ่/สาขาเอกมัย),,autonomy,7,2026-04-09 10:27:20
5,269,researcher,"ซัพพลายเออร์ปูนซีเมนต์ — SCG, TPI, INSEE",SCG (ปูนตราช้าง / ตราเสือ),SCG (ปูนตราช้าง / ตราเสือ),,ช่องทางติดต่อ (B2B & ขอราคาส่ง):,,,,,ช่องทางติดต่อ (B2B & ขอราคาส่ง):,autonomy,9,2026-04-09 10:27:20
3,268,researcher,"ซัพพลายเออร์กระเบื้องหลังคา — SCG, Cpac, Monier",SCG / CPAC (สำนักงานใหญ่ & ฝ่ายขายโครงการ),SCG / CPAC (สำนักงานใหญ่ & ฝ่ายขายโครงการ),,,,,,,,autonomy,8,2026-04-09 10:27:20
7,273,researcher,"ซัพพลายเออร์สี — TOA, Jotun, Beger, Nippon",TOA (บมจ. ทีโอเอ เพ้นท์),TOA (บมจ. ทีโอเอ เพ้นท์),,,,,,,,autonomy,8,2026-04-09 10:27:20
13,279,researcher,"รวม Directory ร้านวัสดุ — บุญถาวร, โฮมโปร, ไทวัสดุ",บุญถาวร (Boonthavorn),บุญถาวร (Boonthavorn),จุดเด่น: กระเบื้อง สุขภัณฑ์ งานครัว (Built-in) และวัสดุปิดผิวพรีเมียม,ช่องทางติดต่อ: Call Center 02-657-1111 | Line: @boonthavorn | สาขา: 15+ (เน้นหัวเมือง),02-657-1111,@boonthavorn,,ช่องทางติดต่อ: Call Center 02-657-1111 | Line: @boonthavorn | สาขา: 15+ (เน้นหัวเมือง),"ส่วนลดผู้รับเหมา (B2B): สมัครสมาชิก ""Boonthavorn Professional"" สำหรับสถาปนิก/ผู้รับเหมา รับส่วนลด On-top 3-10% (ขึ้นอยู่กับแบรนด์) และมีผู้ดูแลบัญชี (Account Executive) ส่วนตัว",autonomy,9,2026-04-09 10:27:20
1,267,researcher,"ซัพพลายเออร์ไฟฟ้า — Lamptitude, Philips, Panasonic",หลักการออกแบบแสงสว่าง (Lighting Design),หลักการออกแบบแสงสว่าง (Lighting Design),,ฐานข้อมูลติดต่อซัพพลายเออร์งานระบบไฟฟ้าและแสงสว่าง (ปี 2026),2026,,,,,autonomy,7,2026-04-09 10:27:20
10,278,researcher,ซัพพลายเออร์บิ้วอิน — โรงงาน Built-in ครัว ตู้,โรงงาน Built-in ครัว ตู้,โรงงาน Built-in ครัว ตู้,,ฐานข้อมูลติดต่อและราคาส่งโรงงาน/ซัพพลายเออร์งานบิ้วอิน (อัปเดตปี 2026),2026,,,,ข้อมูลสำหรับการสั่งซื้อ B2B และการขอราคาส่ง (Project Rate) สำหรับผู้รับเหมา งานตู้เสื้อผ้า ชุดครัว และผนังตกแต่ง (TV Wall) โดยอ้างอิงวัสดุมาตรฐานปี 2026 (ไม้ MDF กันชื้น HMR 16-18mm ปิดผิวเมลามีน/ลามิเนต),autonomy,9,2026-04-09 10:27:20
4,268,researcher,"ซัพพลายเออร์กระเบื้องหลังคา — SCG, Cpac, Monier",โฮมโปร (HomePro B2B),โฮมโปร (HomePro B2B),,,1284,,,,โฮมโปร (HomePro B2B): โทร 1284,autonomy,8,2026-04-09 10:27:20
12,279,researcher,"รวม Directory ร้านวัสดุ — บุญถาวร, โฮมโปร, ไทวัสดุ",โฮมโปร (HomePro),โฮมโปร (HomePro),จุดเด่น: งานระบบ (MEP) ไฟฟ้า ประปา เครื่องมือช่าง และงานตกแต่งภายใน,ช่องทางติดต่อ: Call Center 1284 | Line: @homepro | สาขา: 90+ ทั่วประเทศ,1284,@homepro,,ช่องทางติดต่อ: Call Center 1284 | Line: @homepro | สาขา: 90+ ทั่วประเทศ,"ส่วนลดผู้รับเหมา (B2B): ติดต่อแผนก ""HomePro Direct / Project Sales"" หรือสมัคร HomeCard เพื่อรับเรทราคาโครงการเมื่อสั่งซื้อจำนวนมาก",autonomy,9,2026-04-09 10:27:20
11,279,researcher,"รวม Directory ร้านวัสดุ — บุญถาวร, โฮมโปร, ไทวัสดุ",ไทวัสดุ (Thai Watsadu),ไทวัสดุ (Thai Watsadu),จุดเด่น: งานโครงสร้าง เหล็ก ปูน อิฐ วัสดุหนัก,ช่องทางติดต่อ: Call Center 1308 | Line: @thaiwatsadu | สาขา: 80+ ทั่วประเทศ,1308,@thaiwatsadu,,ช่องทางติดต่อ: Call Center 1308 | Line: @thaiwatsadu | สาขา: 80+ ทั่วประเทศ,"ส่วนลดผู้รับเหมา (B2B): สมัครบัตร ""ช่างไทวัสดุ"" (vCard) รับส่วนลดพิเศษตาม Tier ยอดซื้อ, สะสมคะแนนแลกส่วนลดเงินสด และโปรโมชั่นซื้อยกล็อต",autonomy,9,2026-04-09 10:27:20
