id,category,title,content,keywords,source,priority,created_at,updated_at
1,interior_design,ราคาวัสดุก่อสร้าง 2026 — ปูนซีเมนต์,"ปูนซีเมนต์ปอร์ตแลนด์ (2026):
- ปูนถุง 50 กก. ราคาปลีก: 185-210 บาท/ถุง (แล้วแต่แบรนด์)
- SCG (ตราช้าง): ปูนเทรดีมิกซ์ถุงเล็ก 195 บาท / ถุงใหญ่ 200 บาท
- TPI (ตราทีพีไอ): 185-190 บาท/ถุง 50 กก.
- INSEE (ตราสามเหลี่ยม): 190-205 บาท/ถุง
- ปูนผสมสำเร็จ (ready-mix): 1,800-2,200 บาท/ลบ.ม. ส่งถึงหน้างาน
- ปูนก่ออิฐ: 180-195 บาท/ถุง
- ปูนฉาบ: 170-185 บาท/ถุง
- ปูนกาวกระเบื้อง: 200-250 บาท/ถุง 20 กก.
- ปูนยาแนว: 120-180 บาท/ถุง 5 กก.
เทคนิค: สั่งปูน ready-mix คุ้มกว่าถ้างานเกิน 5 ลบ.ม. ประหยัดแรงงานได้ 30-40%","ปูนซีเมนต์,ราคาปูน,SCG,TPI,INSEE,ready-mix,ปูนถุง,วัสดุก่อสร้าง,ราคาวัสดุ",market_research_2026,9,2026-04-06 14:47:11,2026-04-06 14:47:11
2,interior_design,ราคาวัสดุก่อสร้าง 2026 — เหล็ก,"เหล็กก่อสร้าง (2026):
- เหล็กเส้นกลม (Round Bar) 6 มม.: 28-32 บาท/เมตร
- เหล็กเส้นกลม 9 มม.: 55-65 บาท/เมตร
- เหล็กเส้นกลม 12 มม.: 90-105 บาท/เมตร
- เหล็กข้ออ้อย (Deformed Bar) DB10: 65-75 บาท/เมตร
- เหล็กข้ออ้อย DB12: 95-110 บาท/เมตร
- เหล็กข้ออ้อย DB16: 165-185 บาท/เมตร
- เหล็กข้ออ้อย DB20: 255-285 บาท/เมตร
- เหล็กแผ่น 4 มม. (1.2x2.4 ม.): 1,200-1,400 บาท/แผ่น
- เหล็ก C-Channel 75x45: 380-420 บาท/เมตร
- เหล็กกล่อง 50x50x2 มม.: 280-320 บาท/เมตร
- ราคาเหล็กผันผวนตาม LME (London Metal Exchange) ควรตรวจสอบก่อนสั่ง
- ส่วนลดสำหรับออเดอร์ใหญ่ (เกิน 5 ตัน): 3-8%","เหล็ก,เหล็กเส้น,เหล็กข้ออ้อย,DB,ราคาเหล็ก,วัสดุก่อสร้าง,เหล็กกล่อง,C-Channel",market_research_2026,9,2026-04-06 14:47:11,2026-04-06 14:47:11
3,interior_design,ราคาวัสดุก่อสร้าง 2026 — กระเบื้อง,"กระเบื้อง (2026):
กระเบื้องพื้น:
- กระเบื้องเซรามิก 30x30: 85-150 บาท/ตร.ม.
- กระเบื้องเซรามิก 60x60: 180-350 บาท/ตร.ม.
- กระเบื้องพอร์ซเลน 60x60: 250-600 บาท/ตร.ม.
- กระเบื้องพอร์ซเลน 60x120: 450-900 บาท/ตร.ม.
- กระเบื้องหินขัด (terrazzo): 350-700 บาท/ตร.ม.
- กระเบื้องไวนิล SPC: 280-550 บาท/ตร.ม.
กระเบื้องผนัง:
- กระเบื้องผนังเซรามิก 30x60: 120-250 บาท/ตร.ม.
- กระเบื้องซับเวย์ (subway tile) 7.5x15: 180-380 บาท/ตร.ม.
- กระเบื้องหินอ่อน (marble look): 400-1,200 บาท/ตร.ม.
กระเบื้องหลังคา:
- กระเบื้องคอนกรีต SCG: 18-25 บาท/แผ่น
- กระเบื้องเคลือบ: 22-35 บาท/แผ่น
- เมทัลชีท (Metal Sheet): 180-350 บาท/ตร.ม.
เคล็ดลับ: ซื้อเผื่อ 10-15% สำหรับการตัดและเสียหาย","กระเบื้อง,ราคากระเบื้อง,พอร์ซเลน,เซรามิก,กระเบื้องพื้น,กระเบื้องผนัง,กระเบื้องหลังคา,ไวนิล,SPC",market_research_2026,9,2026-04-06 14:47:11,2026-04-06 14:47:11
4,interior_design,ราคาวัสดุก่อสร้าง 2026 — สี,"สีทาบ้าน (2026):
สีน้ำ (Interior):
- TOA ซุปเปอร์ชิลด์ (ถัง 18 ลิตร): 1,200-1,500 บาท
- TOA Platina (ถัง 18 ลิตร): 2,800-3,200 บาท
- Nippon Paint รุ่นมาตรฐาน (18 ลิตร): 1,100-1,400 บาท
- Beger Pastel (18 ลิตร): 950-1,200 บาท
- Dulux Weathershield (18 ลิตร): 1,600-2,000 บาท
สีน้ำ (Exterior):
- TOA Weather-Guard (18 ลิตร): 1,800-2,200 บาท
- Nippon Weatherbond (18 ลิตร): 1,700-2,100 บาท
- ความครอบคลุม: สีน้ำ 1 ลิตร ≈ 10-12 ตร.ม. (2 ชั้น)
สีอื่นๆ:
- สีรองพื้น (18 ลิตร): 600-900 บาท
- สีสเปรย์ (aerosol 400 มล.): 120-220 บาท
- สีพ่น (automotive): 350-800 บาท/ลิตร
- สีทองคำ/สีพิเศษ: 500-1,500 บาท/ลิตร
เทคนิค: ทาสีเองประหยัดได้ 40-60% เทียบกับจ้างช่าง แต่ต้องเตรียมพื้นผิวให้ดี","สีทาบ้าน,ราคาสี,TOA,Nippon,Beger,Dulux,สีน้ำ,สีรองพื้น,Interior,Exterior",market_research_2026,8,2026-04-06 14:47:11,2026-04-06 14:47:11
5,interior_design,ราคาวัสดุก่อสร้าง 2026 — ไม้และหิน,"ไม้ก่อสร้างและตกแต่ง (2026):
ไม้จริง:
- ไม้สัก 2x4 นิ้ว (เมตร): 180-280 บาท
- ไม้สัก 4x4 นิ้ว (เมตร): 350-500 บาท
- ไม้ยางพารา (ตร.ม.): 800-1,200 บาท (แผ่นพื้น)
- ไม้โอ๊ค (พื้น ตร.ม.): 1,500-3,500 บาท
ไม้อัด/วัสดุทดแทน:
- ไม้อัด 18 มม. (1.22x2.44 ม.): 550-750 บาท/แผ่น
- MDF 18 มม.: 480-620 บาท/แผ่น
- Particle Board 18 มม.: 380-480 บาท/แผ่น
- Plywood Marine 18 มม.: 850-1,100 บาท/แผ่น
- เมลามีน (ผิวลามิเนต): เพิ่มอีก 150-300 บาท/แผ่น
หิน (2026):
- หินอ่อนจริง (ตร.ม.): 2,500-8,000 บาท
- หินแกรนิตจริง (ตร.ม.): 1,800-5,000 บาท
- หินเทียม (Engineered Stone): 2,200-6,000 บาท/ตร.ม.
- หินปูถนน/กรวด: 150-350 บาท/ตร.ม.","ไม้,ราคาไม้,ไม้สัก,ไม้อัด,MDF,Plywood,หิน,หินอ่อน,แกรนิต,วัสดุก่อสร้าง",market_research_2026,8,2026-04-06 14:47:11,2026-04-06 14:47:11
6,interior_design,ราคาวัสดุก่อสร้าง 2026 — กระจก อิฐ ฉนวน ท่อ PVC,"กระจก (2026):
- กระจกใส 6 มม. (ตร.ม.): 450-600 บาท
- กระจกใส 10 มม. (ตร.ม.): 850-1,100 บาท
- กระจกเทมเปอร์ 8 มม. (ตร.ม.): 1,200-1,800 บาท
- กระจก Low-E (ตร.ม.): 1,800-3,500 บาท
- กระจกลามิเนต (ตร.ม.): 2,200-4,000 บาท

อิฐมวลเบา/อิฐก่อ (2026):
- อิฐมวลเบา SCG 7.5 ซม. (ก้อน): 18-25 บาท
- อิฐมวลเบา 10 ซม. (ก้อน): 22-30 บาท
- อิฐแดงมอญ: 4-7 บาท/ก้อน
- อิฐบล็อก (มาตรฐาน): 12-18 บาท/ก้อน

ฉนวนกันความร้อน:
- ฉนวนใยแก้ว (Fiberglass) 50 มม.: 120-180 บาท/ตร.ม.
- ฉนวน Rockwool 50 มม.: 180-250 บาท/ตร.ม.
- ฉนวนโฟม EPS (ตร.ม.): 80-150 บาท
- Aluminium Foil ฉนวน: 45-90 บาท/ตร.ม.
- ฉนวน SPF (Spray Polyurethane Foam): 350-550 บาท/ตร.ม.

ท่อ PVC:
- ท่อ PVC 1/2 นิ้ว (เมตร): 18-25 บาท
- ท่อ PVC 1 นิ้ว (เมตร): 35-50 บาท
- ท่อ PVC 2 นิ้ว (เมตร): 75-100 บาท
- ท่อ PVC 4 นิ้ว (เมตร): 180-250 บาท
- ท่อ UPVC ระบบน้ำดื่ม: เพิ่มอีก 30-50% จากท่อปกติ","กระจก,อิฐ,อิฐมวลเบา,ฉนวน,ท่อ PVC,ราคาวัสดุ,กระจกเทมเปอร์,Low-E",market_research_2026,8,2026-04-06 14:47:11,2026-04-06 14:47:11
7,interior_design,สไตล์การออกแบบภายใน — Modern Minimalist,"Modern Minimalist (มินิมอล):
คอนเซ็ปต์: ""Less is More"" พื้นที่โล่ง สะอาด ไม่ยุ่งเหยิง
สีหลัก: ขาว เทา ดำ เบจ ครีม
วัสดุ: คอนกรีตขัดมัน, ไม้อ่อน, กระจก, โลหะ
ข้อดี:
- ดูทันสมัยตลอดกาล
- ทำความสะอาดง่าย
- ห้องดูกว้างขึ้น
ข้อเสีย:
- อาจดูเย็นชา/ขาดความอบอุ่น
- ของใช้ต้องเก็บซ่อน (ต้องการ storage เยอะ)
- ราคาของตกแต่งที่ดูดีต้องลงทุนสูง
ราคางบประมาณ: 8,000-18,000 บาท/ตร.ม. (รวมค่าออกแบบ)
เหมาะกับ: คนโสด/คู่รัก, พื้นที่จำกัด, คอนโดเมือง
ตัวอย่างแบรนด์เฟอร์นิเจอร์: IKEA, Index Living Mall, SB Design Square","minimalist,มินิมอล,สไตล์ออกแบบ,interior design,modern,โมเดิร์น,ตกแต่งบ้าน",design_guide_2026,8,2026-04-06 14:47:11,2026-04-06 14:47:11
8,interior_design,สไตล์การออกแบบภายใน — Japanese Wabi-Sabi / Japandi,"Japandi / Wabi-Sabi (ญี่ปุ่น-สแกนดิเนเวีย):
คอนเซ็ปต์: ความงามในความไม่สมบูรณ์ เรียบง่าย ธรรมชาติ
สีหลัก: ครีม ทราย น้ำตาลอ่อน เขียวมอส เทาอุ่น ขาวหม่น
วัสดุ: ไม้สีอ่อน, ผ้าลินิน, เซรามิกด้าน, ไม้ไผ่, หิน
ข้อดี:
- อบอุ่น สงบ ผ่อนคลาย
- ทนกาลเวลา ไม่ล้าสมัย
- สอดคล้องกับ wellness lifestyle
ข้อเสีย:
- ของแต่งราคาสูงถ้าต้องการของแท้ญี่ปุ่น
- ต้องการการจัดวางที่พิถีพิถัน
ราคางบประมาณ: 10,000-25,000 บาท/ตร.ม.
เหมาะกับ: ทุกวัย, คอนโด, บ้าน, ต้องการ calm space
เฟอร์นิเจอร์แนะนำ: Muji, Zara Home, IKEA Scandinavian line
ต้นไม้แนะนำ: ต้นปาล์ม, มอนสเตอร์รา, ไผ่ญี่ปุ่น, เฟิร์น","Japandi,wabi-sabi,ญี่ปุ่น,สแกนดิเนเวีย,สไตล์ออกแบบ,ธรรมชาติ,อบอุ่น,ตกแต่งบ้าน",design_guide_2026,8,2026-04-06 14:47:11,2026-04-06 14:47:11
9,interior_design,สไตล์การออกแบบภายใน — Industrial และ Loft,"Industrial / Loft Style:
คอนเซ็ปต์: โรงงานเก่า ท่อเหล็กเปลือย อิฐเปลือย แสงสลัว
สีหลัก: เทาเข้ม ดำ น้ำตาลสนิม เงิน ทอง
วัสดุ: เหล็ก, อิฐแดง, คอนกรีต, หนัง, ไม้เก่า (reclaimed wood)
ข้อดี:
- Character ชัด บุคลิกแข็งแกร่ง
- ไม่ต้องพยายามซ่อนโครงสร้าง ประหยัดงบได้
- เหมาะกับพื้นที่เพดานสูง
ข้อเสีย:
- ดูแลรักษายาก (เหล็กเป็นสนิม, ฝุ่นจับง่าย)
- ไม่เหมาะกับครอบครัวเด็กเล็ก (มุมคม)
ราคางบประมาณ: 7,000-15,000 บาท/ตร.ม.
เหมาะกับ: พื้นที่เพดานสูง, ร้านกาแฟ, สตูดิโอ, loft คอนโด

Bohemian / Boho:
คอนเซ็ปต์: อิสระ, สีสัน, ผสมผสานหลายวัฒนธรรม
สีหลัก: ส้มอิฐ, ทอง, เขียวเข้ม, ม่วง, แดง
วัสดุ: พรม, มาโครเม่, ผ้า, โลหะทอง, พืช
ราคางบประมาณ: 5,000-12,000 บาท/ตร.ม.","Industrial,Loft,โรงงาน,อิฐเปลือย,Bohemian,Boho,สไตล์ออกแบบ,ตกแต่งบ้าน",design_guide_2026,7,2026-04-06 14:47:11,2026-04-06 14:47:11
10,interior_design,"สไตล์การออกแบบภายใน — Tropical, Classic, Contemporary","Tropical / Resort Style:
คอนเซ็ปต์: บรรยากาศรีสอร์ท ใกล้ชิดธรรมชาติ
สีหลัก: เขียว, น้ำตาลไม้, ขาว, เบจ, ฟ้าน้ำทะเล
วัสดุ: ไม้ธรรมชาติ, หวาย, ใบไม้สาน, หินธรรมชาติ
งบประมาณ: 8,000-20,000 บาท/ตร.ม.
เหมาะกับ: บ้านมีสวน, บ้านพักตากอากาศ, โรงแรม

Classic / Traditional:
คอนเซ็ปต์: หรูหรา ยิ่งใหญ่ ทรงคุณค่า
สีหลัก: ทอง, ขาวครีม, น้ำเงินเข้ม, เขียวเข้ม
วัสดุ: หินอ่อน, ไม้สัก, ผ้าไหม, ทอง
งบประมาณ: 15,000-50,000+ บาท/ตร.ม.

Contemporary:
คอนเซ็ปต์: ทันสมัย ยืดหยุ่น ผสม modern กับ classic
สีหลัก: เทา ขาว ดำ accent สีสด
งบประมาณ: 9,000-20,000 บาท/ตร.ม.
เหมาะกับ: บ้านทั่วไป, ต้องการ timeless look","Tropical,Resort,Classic,Traditional,Contemporary,สไตล์ออกแบบ,ตกแต่งบ้าน,งบประมาณ",design_guide_2026,7,2026-04-06 14:47:11,2026-04-06 14:47:11
