id,material_key,display_name,normalized_name,material_group,brand_name,series_name,specification,size_mm,size_inch,grade_code,width_mm,height_mm,thickness_mm,thickness_mm_min,thickness_mm_max,cross_section_sqmm_min,cross_section_sqmm_max,strength_kg_per_cm2,default_unit,confidence_score,source_kb_id,source_title,source_row_id,raw_material_name,raw_variant_label,created_at
79,คอนกร_ต_ready_mix_210_กก_ซม2_210_กก_ลบ_ม,คอนกรีต ready-mix 210 กก./ซม²,คอนกร ต ready mix 210 กก ซม2,cement,,,210 กก.,,,,,,,,,,,210.0,ลบ.ม.,0.95,117,สูตรคำนวณวัสดุโครงสร้าง — ปูนซีเมนต์ เหล็ก คอนกรีต ต่อ ตร.ม.,94,ราคา ready-mix 210 กก./ซม²,,2026-04-09 11:03:53
111,ป_นงานก_อฉาบ_scg_ถ_ง,ปูนงานก่อฉาบ,ป นงานก อฉาบ,cement,SCG,,,,,,,,,,,,,,ถุง,1.0,269,"ซัพพลายเออร์ปูนซีเมนต์ — SCG, TPI, INSEE",224,ปูนงานก่อฉาบ,,2026-04-09 11:03:53
7,ป_นฉาบ_ถ_ง,ปูนฉาบ,ป นฉาบ,cement,,,,,,,,,,,,,,,ถุง,0.95,1,ราคาวัสดุก่อสร้าง 2026 — ปูนซีเมนต์,7,ปูนฉาบ,,2026-04-09 11:03:53
4,ป_นซ_เมนต_insee_insee_ตราสามเหล_ยม_ถ_ง,ปูนซีเมนต์ INSEE,ป นซ เมนต insee,cement,INSEE,,ตราสามเหลี่ยม,,,,,,,,,,,,ถุง,0.95,1,ราคาวัสดุก่อสร้าง 2026 — ปูนซีเมนต์,4,INSEE (ตราสามเหลี่ยม),,2026-04-09 11:03:53
2,ป_นซ_เมนต_scg_scg_ตราช_าง_ถ_ง,ปูนซีเมนต์ SCG,ป นซ เมนต scg,cement,SCG,,ตราช้าง,,,,,,,,,,,,ถุง,0.95,1,ราคาวัสดุก่อสร้าง 2026 — ปูนซีเมนต์,2,SCG (ตราช้าง),,2026-04-09 11:03:53
3,ป_นซ_เมนต_tpi_tpi_ตราท_พ_ไอ_ถ_ง,ปูนซีเมนต์ TPI,ป นซ เมนต tpi,cement,TPI,,ตราทีพีไอ,,,,,,,,,,,,ถุง,0.95,1,ราคาวัสดุก่อสร้าง 2026 — ปูนซีเมนต์,3,TPI (ตราทีพีไอ),,2026-04-09 11:03:53
105,ป_นซ_เมนต_ปอร_ตแลนด_50_กก_ตราช_าง_ถ_ง,ปูนซีเมนต์ปอร์ตแลนด์ (ตราช้าง) 50 กก.,ป นซ เมนต ปอร ตแลนด 50 กก,cement,,,ตราช้าง,,,,,,,,,,,,ถุง,0.95,254,หา Database แบรนด์วัสดุ — SCG COTTO TOA Jotun,202,ปูนซีเมนต์ปอร์ตแลนด์ (ตราช้าง) 50 กก.,,2026-04-09 11:03:53
1,ป_นถ_ง_50_กก_ราคาปล_ก_50_กก_ถ_ง,ปูนถุง 50 กก. ราคาปลีก,ป นถ ง 50 กก ราคาปล ก,cement,,,50 กก.,,,,,,,,,,,,ถุง,0.95,1,ราคาวัสดุก่อสร้าง 2026 — ปูนซีเมนต์,1,ปูนถุง 50 กก. ราคาปลีก,,2026-04-09 11:03:53
110,ป_นปอร_ตแลนด_scg_งานโครงสร_าง_50_กก_ถ_ง,ปูนปอร์ตแลนด์,ป นปอร ตแลนด,cement,SCG,,งานโครงสร้าง | 50 กก.,,,,,,,,,,,,ถุง,1.0,269,"ซัพพลายเออร์ปูนซีเมนต์ — SCG, TPI, INSEE",223,ปูนปอร์ตแลนด์ (งานโครงสร้าง),,2026-04-09 11:03:53
5,ป_นผสมส_าเร_จ_ready_mix_ลบ_ม,ปูนผสมสำเร็จ,ป นผสมส าเร จ,cement,,,ready-mix,,,,,,,,,,,,ลบ.ม.,0.95,1,ราคาวัสดุก่อสร้าง 2026 — ปูนซีเมนต์,5,ปูนผสมสำเร็จ (ready-mix),,2026-04-09 11:03:53
